,impute_method,mean_roc_auc,mean_accuracy,sd_roc_auc,hyp,n_expand
0,ExpandGAN,0.5000110756689704,0.3485858585858586,0.00011020151483105708,"SVC(C=5, gamma=0.1)",0.25
0,GAN,0.5,0.3485714285714286,0.0,"SVC(C=5, gamma=0.1)",
0,SMOTE,0.8640710382513661,0.88,0.0,"SVC(C=1, gamma=0.1, kernel='linear')",
0,RO,0.8640710382513661,0.88,0.0,"SVC(C=1, gamma=0.1, kernel='linear')",
0,ExpandGAN,0.5001122092364543,0.3487301587301588,0.0003756953544660827,"SVC(C=5, gamma=0.1)",0.5
0,ExpandGAN,0.5003322700691122,0.3551226551226551,0.0005064769663869687,"SVC(C=5, gamma=0.1)",0.75
0,ExpandGAN,0.5008778829421625,0.3558585858585858,0.00213442559114716,"SVC(C=5, gamma=0.1)",1.0
