,impute_method,mean_roc_auc,mean_accuracy,sd_roc_auc,hyp,n_expand
0,ExpandGAN,0.5,0.3485714285714286,0.0,"SVC(C=5, gamma=0.1)",0.25
0,GAN,0.5,0.3485714285714286,0.0,"SVC(C=5, gamma=0.1)",
0,SMOTE,0.8506647580202368,0.8695670995670995,0.0010639591410624581,"SVC(C=1, gamma=0.1, kernel='linear')",
0,RO,0.8506137373156354,0.8695382395382395,0.001016319443328993,"SVC(C=1, gamma=0.1, kernel='linear')",
0,ExpandGAN,0.5000679065605727,0.34867243867243863,0.0006756617466690902,"SVC(C=5, gamma=0.1)",0.5
0,ExpandGAN,0.5,0.3485714285714286,0.0,"SVC(C=5, gamma=0.1)",0.75
0,ExpandGAN,0.5001040386609843,0.3579220779220779,0.001035171606527768,"SVC(C=5, gamma=0.1)",1.0
