,impute_method,mean_roc_auc,mean_accuracy,sd_roc_auc,hyp
0,ExpandGAN,0.700846907382714,0.7039393939393939,0.04245480579382873,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=25)"
0,GAN,0.6073913204521487,0.5660317460317461,0.050664217498548256,HistGradientBoostingClassifier(min_samples_leaf=1)
0,SMOTE,0.6275165372447512,0.6500000000000001,0.0,"HistGradientBoostingClassifier(learning_rate=0.001, min_samples_leaf=1)"
0,RO,0.6275165372447512,0.6500000000000001,0.0,"HistGradientBoostingClassifier(learning_rate=0.001, min_samples_leaf=1)"
