lr_2,n_epochs_2,max_loss_2,min_loss_2,ind_null,instab,diff,time_taken,final_lr,experiment,undov
1e-05,5000,15,-15,250,10.277436969280243,2.389195476055145,NA,0,1a,under
5e-05,5000,15,-15,73,6.206448910187702,0.9128406071662902,NA,1,1a,under
1e-05,5000,15,-15,250,10.277596235275269,2.38892878484726,NA,0,1b,under
5e-05,5000,15,-15,73,6.207985897453463,0.9124720608044976,NA,1,1b,under
1e-05,5000,15,-15,250,10.277596235275269,2.38892878484726,NA,0,1c,under
5e-05,5000,15,-15,73,6.207985897453463,0.9124720608044976,NA,1,1c,under
1e-05,5000,15,-15,250,9.88020828962326,1.9840151648521425,NA,0,2a,under
5e-05,5000,15,-15,73,6.000067824409122,0.6907290290479791,NA,1,2a,under
1e-05,5000,15,-15,250,9.879571733474732,1.983210590839386,NA,0,2b,under
5e-05,5000,15,-15,73,6.00029392469497,0.6907079092770406,NA,1,2b,under
1e-05,5000,15,-15,250,9.879571733474732,1.983210590839386,NA,0,2c,under
5e-05,5000,15,-15,73,6.00029392469497,0.6907079092770406,NA,1,2c,under
1e-05,5000,15,-15,250,7.739348044395447,1.9128607122898105,NA,0,3a,under
5e-05,5000,15,-15,114,6.3465493869781495,2.458408528754586,NA,1,3a,under
1e-05,5000,15,-15,250,7.737865648269653,1.9123519792556765,NA,0,3b,under
5e-05,5000,15,-15,114,6.3471774792671205,2.4578226540799726,NA,1,3b,under
1e-05,5000,15,-15,250,7.737865648269653,1.9123519792556765,NA,0,3c,under
5e-05,5000,15,-15,114,6.3471774792671205,2.4578226540799726,NA,1,3c,under
1e-05,5000,15,-15,250,7.447573521137238,1.6364482767581938,NA,0,4a,under
5e-05,5000,15,-15,118,6.655993919372559,2.4946255226862637,NA,1,4a,under
1e-05,5000,15,-15,250,7.449507348537445,1.635751105070114,NA,0,4b,under
5e-05,5000,15,-15,118,6.657587401866913,2.4938806917303697,NA,1,4b,under
1e-05,5000,15,-15,250,7.449507348537445,1.635751105070114,NA,0,4c,under
5e-05,5000,15,-15,118,6.657587401866913,2.4938806917303697,NA,1,4c,under
1e-05,5000,15,-15,250,8.50583382844925,1.8025309245586396,NA,0,5a,under
5e-05,5000,15,-15,114,6.819500050544739,2.2856045881488867,NA,1,5a,under
1e-05,5000,15,-15,250,8.505967638492585,1.8022311980724337,NA,0,5b,under
