ptprf,ctnna1,znf207,psmd4,dctn2,acta2,atp6v1f,gnpat,vwf,plod3,polr2g,gmfb,nol7,fam20b,ap3b1,hsph1,tfrc,parp1,dap3,thy1,kpnb1,lsm2,hgs,creb3l2,cap2,sae1,c8orf33,parp12,ptcd1,lage3,slc41a3,chst4,plvap
6.413,7.006,7.581,8.157,7.962,7.608,7.673,8.395,4.944,7.493,7.247,4.454,8.278,5.63,4.353,7.509,7.448,6.316,7.553,4.06,8.359,5.506,6.52,7.517,4.092,6.903,5.206,6.128,5.245,5.487,5.06,5.549,4.014
5.604,7.447,7.156,10.099,8.242,9.519,8.228,10.008,7.575,7.881,6.786,5.32,8.962,5.468,3.991,8.805,9.599,7.406,9.357,4.007,8.307,4.883,7.301,7.041,4.781,6.11,4.835,7.956,6.25,5.978,5.91,4.004,5.951
6.833,5.357,7.033,8.456,7.266,7.395,6.909,8.148,4.256,7.581,6.126,4.412,7.008,4.585,4.544,6.83,6.652,5.346,5.592,3.704,8.451,3.884,6.746,6.736,3.816,5.187,3.599,7.423,5.423,5.776,4.551,6.038,3.53
6.889,6.335,6.412,8.059,7.811,9.45,7.573,8.146,5.437,7.127,6.349,3.654,7.564,5.573,4.147,7.3,7.845,5.691,7.501,5.325,8.616,4.772,6.799,7.018,4.37,6.234,4.848,5.981,4.964,5.751,5.204,6.483,5.416
7.043,6.535,7.068,7.952,7.771,7.41,7.439,8.009,4.525,7.235,7.04,4.112,8.039,5.194,4.033,7.187,7.436,6.011,7.466,3.824,7.894,4.964,6.671,7.377,4.649,5.83,5.128,5.477,5.477,5.783,5.428,5.09,4.387
6.355,5.017,5.343,7.801,8.078,8.533,6.911,8.213,5.024,8.278,6.236,3.475,6.836,4.38,4.072,6.192,7.558,5.168,7.222,3.349,6.445,4.508,6.338,6.62,4.997,5.229,4.512,6.266,5.618,4.92,5.536,6.833,4.735
7.848,6.829,7.275,8.805,8.227,8.329,8.172,8.604,5.925,8.183,7.584,6.067,8.844,4.673,4.151,7.126,8.968,6.842,8.084,4.304,8.082,5.01,7.827,6.938,5.994,8.028,5.457,8.004,5.933,7.532,5.133,4.031,4.935
6.94,6.638,7.048,7.982,8.001,8.597,7.815,8.428,6.293,7.465,6.86,4.164,7.87,4.941,3.845,7.48,7.62,6.093,7.245,4.301,8.359,4.717,6.984,7.841,4.18,5.903,4.887,7.373,5.185,5.643,5.308,4.887,5.75
7.469,5.972,6.25,8.135,7.376,8.869,7.329,8.085,5.023,7.359,6.724,3.467,8.041,5.542,5.321,6.579,7.644,5.489,7.57,4.33,9.187,4.761,7.261,7.565,4.307,5.373,4.912,6.748,5.424,5.313,5.291,5.66,4.05
7.011,5.829,6.255,8.403,7.509,8.387,7.263,8.248,4.237,6.803,6.251,3.661,6.9,4.682,4.183,7.15,8.413,5.587,7.54,3.708,8.506,5.574,6.815,7.477,4.11,6.16,4.454,6.584,5.407,5.248,4.885,4.261,4.248
