ptprf,ctnna1,znf207,psmd4,dctn2,acta2,atp6v1f,gnpat,vwf,plod3,polr2g,gmfb,nol7,fam20b,ap3b1,hsph1,tfrc,parp1,dap3,thy1,kpnb1,lsm2,hgs,creb3l2,cap2,sae1,c8orf33,parp12,ptcd1,lage3,slc41a3,chst4,plvap
6.401,6.651,7.261,8.284,7.733,8.245,7.636,8.039,4.629,6.938,6.933,4.16,8.15,5.837,4.311,7.32,7.888,6.007,7.756,4.054,8.238,5.565,5.858,6.577,4.176,6.29,5.101,5.899,5.668,5.331,4.619,4.688,4.297
7.044,6.589,6.417,8.112,8.234,9.861,7.989,8.509,6.499,7.691,7.168,4.204,7.583,4.975,4.079,6.765,7.836,5.966,7.011,4.916,8.676,5.292,6.978,7.524,4.528,6.639,5.025,7.206,5.532,5.522,5.255,7.169,6.694
6.692,6.386,7.074,8.383,7.803,9.461,7.654,8.188,6.101,7.012,6.693,4.262,8.125,5.22,3.953,6.942,7.464,5.933,7.217,3.787,8.211,4.325,7.404,7.112,4.329,5.996,5.035,6.219,5.451,5.158,5.118,5.785,5.027
6.979,7.202,7.502,8.363,8.11,8.319,7.997,8.555,4.703,7.286,6.752,4.537,8.355,5.353,4.1,7.925,8.306,6.067,7.603,3.907,8.388,4.671,6.476,7.153,4.398,6.37,5.264,6.323,5.714,5.443,4.972,6.223,4.385
6.629,6.813,7.052,8.417,7.922,7.335,7.502,8.044,4.324,6.954,6.784,4.591,8.661,5.156,4.404,8.365,8.028,6.685,7.9,3.451,7.858,5.37,6.333,7.473,4.206,7.096,5.395,6.865,5.131,5.502,4.592,4.142,4.048
6.865,5.733,6.104,8.507,7.578,8.478,7.365,8.439,4.311,7.641,6.257,3.889,7.72,5.618,4.029,6.704,7.55,6.188,7.21,3.816,8.498,4.871,6.631,7.286,4.015,5.701,4.783,6.185,5.113,5.261,5.126,4.886,4.156
7.106,7.816,8.477,9.363,8.755,8.546,8.254,9.131,5.114,8.392,8.289,5.622,8.526,6.685,4.248,9.068,9.746,6.6,9.888,4.716,9.49,5.719,8.549,7.653,7.287,7.891,6.663,7.817,5.931,6.826,5.335,4.278,5.21
7.458,6.658,7.199,8.31,7.7,7.612,7.227,8.306,4.659,7.166,6.764,4.499,8.53,5.34,4.44,6.937,7.401,5.82,7.579,4.059,8.626,4.597,6.639,6.669,4.636,5.899,5.132,5.75,5.418,5.604,4.922,5.213,4.518
7.306,6.728,6.859,8.294,7.296,8.799,7.46,8.017,4.706,7.123,6.898,4.47,8.553,5.298,4.802,6.728,8.35,5.728,7.463,3.944,8.391,4.606,6.556,6.947,4.301,5.7,5.234,5.245,5.278,5.379,5.336,5.429,4.162
6.438,6.71,7.585,8.062,7.693,9.047,7.707,8.211,3.817,7.122,7.249,4.871,7.883,5.454,4.121,7.228,8.855,5.943,7.686,3.881,7.754,4.83,6.5,6.855,3.939,6.113,5.008,5.772,5.241,5.711,5.08,5.3,4.17
5.936,6.738,7.979,9.462,8.651,9.177,8.123,10.445,4.92,9.028,7.692,5.966,10.643,5.798,4.496,9.51,8.38,7.406,8.967,4.181,9.336,6.333,8.398,8.923,7.413,8.24,5.733,6.962,5.973,5.501,5.318,4.215,5.11
7.119,6.633,7.184,9.787,8.204,9.078,8.062,9.71,7.156,8.484,7.502,4.544,7.947,6.492,4.641,7.871,7.998,7.058,8.583,4.747,8.159,4.432,7.581,8.093,6.778,6.72,5.437,7.707,6.381,7.3,5.18,4.321,6.6
6.209,7.683,7.928,9.441,8.001,10.145,8.385,9.256,5.295,7.892,6.999,5.782,8.89,7.357,4.868,8.194,10.12,6.597,8.773,6.038,8.824,5.721,7.783,8.69,6.678,8.081,5.597,8.428,5.642,4.711,5.423,3.766,5.935
6.994,6.371,6.516,8.161,7.78,7.643,7.691,8.384,5.269,7.367,6.833,4.076,7.906,5.364,4.009,7.086,7.492,6.156,7.393,4.075,8.214,4.88,6.784,7.088,4.476,5.681,4.518,5.797,5.415,5.152,4.851,5.385,3.98
6.777,4.895,5.848,10.223,7.889,10.105,7.258,9.115,5.306,7.51,5.583,3.771,8.252,5.699,4.361,5.84,6.781,7.235,8.823,4.546,7.86,5.159,7.515,5.99,5.861,7.735,5.787,6.854,4.851,6.332,5.137,4.026,4.744
6.725,6.734,7.033,8.297,7.802,8.544,7.604,8.237,4.542,6.989,6.949,4.434,8.23,5.103,3.989,7.825,7.651,6.055,7.72,3.695,7.77,5.133,6.208,6.713,4.099,6.096,5.085,5.723,5.171,5.726,5.258,4.619,4.013
6.831,7.208,7.643,9.432,8.615,9.084,7.955,9.542,5.283,8.025,8.29,6.85,9.131,6.126,4.136,9.257,8.983,7.542,8.671,4.335,8.297,6.165,7.48,6.932,8.125,7.494,7.332,6.744,6.223,7.339,5.858,4.141,6.27
6.551,6.377,7.882,9.952,7.836,9.235,8.07,9.405,5.799,8.609,7.735,5.149,8.817,7.527,4.16,6.677,11.174,7.267,9.76,3.782,8.767,5.874,6.57,7.878,5.49,7.353,5.567,6.488,6.024,6.483,5.228,3.61,6.783
7.937,7.096,7.545,10.191,8.213,8.766,7.8,10.241,5.485,7.739,7.096,5.621,9.956,6.746,5.432,7.854,8.502,7.613,9.221,4.721,9.929,5.218,8.216,9.339,6.081,7.641,5.308,6.97,6.037,5.998,5.682,4.276,5.362
7.014,6.589,7.208,8.342,7.894,7.938,7.283,8.522,5.306,7.474,6.694,4.536,7.974,5.047,4.181,7.815,7.863,6.189,7.516,4.262,8.099,5.225,7.152,7.804,4.047,6.489,4.853,6.451,5.322,6.14,5.372,5.596,5.17
6.939,6.005,6.494,8.556,8.061,7.75,7.862,7.532,4.966,7.68,5.964,3.508,7.283,5.295,4.318,5.73,7.125,5.791,7.626,4.858,7.885,4.458,6.674,6.521,4.461,6.72,5.199,5.558,5.507,5.199,5.176,5.401,4.628
8.064,7.716,8.109,9.571,8.011,7.905,7.987,9.424,6.11,7.713,7.807,4.685,9.254,7.027,5.501,8.952,9.276,7.859,8.835,4.33,9.317,5.596,7.201,8.344,7.197,7.707,6.028,7.228,5.728,6.441,5.277,3.55,5.853
5.532,5.325,4.583,6.836,7.773,8.55,7.693,6.083,5.27,7.046,5.938,3.214,6.306,4.583,4.022,5.968,6.054,6.063,5.908,3.908,7.917,5.927,5.399,5.387,5.551,5.707,5.232,5.807,5.08,4.976,6.136,4.33,4.81
6.793,6.699,6.841,8.959,9.086,11.414,8.573,8.918,8.747,7.924,7.139,4.598,7.965,5.254,4.383,7.722,7.942,6.177,7.865,5.333,8.999,6.253,7.418,7.755,4.955,8.417,5.078,7.52,5.095,5.113,5.459,6.372,6.938
6.92,6.564,7.386,11.863,8.644,8.71,8.087,9.245,4.349,7.717,7.456,6.748,8.894,4.641,4.127,7.087,10.155,7.037,9.735,3.982,9.221,5.055,6.353,6.488,5.246,8.106,6.032,7.313,6.115,7.583,5.306,4.529,4.848
6.548,8.044,7.778,9.044,8.474,9.775,7.994,9.333,5.336,8.364,7.549,5.678,8.836,6.23,4.536,7.847,7.735,6.819,8.306,5.372,8.523,5.593,7.132,7.095,7.224,7.414,6.543,7.34,5.752,6.347,5.204,3.935,7.072
6.843,6.708,7.306,10.084,8.638,9.637,8.621,9.719,5.696,8.095,7.832,5.611,9.038,5.827,4.275,8.343,9.361,7.407,9.068,4.818,8.768,5.213,7.856,7.818,6.294,7.108,5.441,7.165,6.655,6.168,5.795,3.786,6.117
8.133,7.208,7.887,8.551,9.267,9.955,8.677,9.655,4.888,8.09,7.032,4.245,8.624,6.329,4.247,8.642,7.475,7.417,8.695,5.652,9.5,6.36,8.097,9.083,5.583,8.65,6.285,7.023,5.729,6.518,5.119,3.714,5.951
6.511,6.267,6.729,8.251,7.74,9.457,7.237,8.588,4.86,7.233,6.965,4.175,7.85,4.719,4.026,6.695,6.951,6.035,7.429,3.994,8.118,4.387,6.92,7.387,4.286,5.832,5.015,6.172,5.814,5.43,5.086,5.561,4.61
7.182,7.433,7.393,9.482,7.989,9.476,7.86,8.773,4.921,8.384,6.618,5.487,8.857,5.904,4.167,7.85,8.339,6.133,8.506,4.133,7.817,5.427,7.001,7.653,5.862,6.799,5.725,7.097,5.703,6.03,5.9,4.75,4.224
6.344,7.575,7.38,9.454,8.33,9.56,8.495,9.223,6.35,7.874,7.594,5.501,9.051,6.099,4.295,8.991,9.063,6.898,9.028,5.138,8.609,5.166,7.346,8.664,6.209,8.065,6.148,7.462,5.438,6.02,4.912,4.163,7.331
7.139,7.918,8.011,9.985,8.458,9.646,8.82,9.796,5.429,8.608,7.638,6.005,8.978,7.699,4.266,8.535,8.986,7.117,9.031,6.079,9.289,5.978,8.123,8.748,7.302,7.637,5.68,8.144,5.295,6.109,5.639,3.631,6.152
6.636,6.184,5.867,8.244,7.804,8.717,7.403,7.927,5.623,7.082,6.436,3.554,7.601,5.078,4.166,6.786,7.913,5.708,7.505,3.943,7.744,4.501,6.647,5.952,4.11,6.211,4.889,5.986,5.404,5.034,4.685,5.829,4.634
7.37,6.507,7.455,9.241,8.376,7.575,8.681,9.121,4.391,8.631,7.319,5.593,8.834,5.563,4.393,8.1,10.321,7.205,7.909,4.467,8.541,5.739,8.153,8.399,7.473,8.309,6.305,7.618,6.42,6.827,5.56,3.873,6.271
6.953,6.88,8.448,9.403,8.414,10.19,8.664,8.619,5.469,8.507,7.881,5.572,8.738,6.73,4.483,7.256,8.872,6.821,9.622,5.645,9.078,6.293,7.446,7.783,6.152,8.079,5.537,7.463,6.382,6.838,5.222,4.129,6.591
6.465,6.567,7.158,8.389,7.819,9.306,7.836,8.398,5.995,7.372,7.4,4.386,8.376,5.53,4.41,8.105,7.961,6.284,7.855,4.466,7.917,4.753,6.795,7.709,4.464,6.73,5.163,5.504,5.333,5.577,4.961,4.643,4.435
7.331,7.279,7.234,8.232,8.013,10.465,7.748,8.372,7.005,7.134,7.204,4.777,8.65,5.522,5.154,7.923,7.153,6.221,7.416,5.061,8.818,5.352,6.514,7.27,5.008,6.34,5.446,6.931,5.254,5.54,5.047,6.664,4.696
6.409,6.4,6.96,7.748,7.785,8.29,7.597,8.673,4.552,7.859,6.727,3.841,7.324,4.48,4.21,7.166,7.583,5.706,7.532,3.989,7.611,4.396,7.023,7.334,4.841,5.164,4.355,6.163,5.479,5.738,5.32,5.783,5.211
7.186,6.459,7.114,8.291,7.869,9.893,7.682,8.314,6.336,7.312,7.221,4.407,8.408,5.822,5.086,7.928,7.058,5.821,7.49,4.728,9.09,4.745,6.779,7.487,4.466,5.75,5.201,7.141,5.012,5.537,4.957,6.281,5.617
6.21,6.216,6.28,8.331,7.476,8.999,7.45,7.737,5.304,6.876,6.96,3.804,8.307,4.657,4.333,6.403,7.477,5.41,7.292,3.885,8.263,5.089,6.398,6.538,4.181,5.803,4.891,5.901,5.406,5.878,5.138,5.345,4.479
6.49,7.951,8.24,9.587,8.155,6.635,8.359,9.712,4.55,8.085,8.593,7.021,9.574,6.503,4.248,7.958,9.373,7.703,9.353,4.469,9.041,6.107,7.625,8.128,8.014,9.321,5.791,7.207,5.953,7.054,6.317,3.884,5.567
5.68,7.084,6.708,9.526,8.354,8.276,8.31,9.602,7.661,8.179,7.08,4.436,8.066,4.527,4.058,7.785,8.756,6.742,8.453,4.055,7.413,4.639,6.835,7.909,5.841,6.402,5.034,8.134,6.704,6.378,5.093,4.057,5.145
6.567,6.855,7.294,8.393,8.155,10.042,7.515,8.328,6.406,6.952,7.252,4.275,8.15,5.431,4.639,6.65,8.075,6.009,7.698,4.757,8.693,5.625,6.926,7.482,5.189,7.226,4.931,6.411,5.202,4.496,5.04,5.984,4.966
6.779,5.97,6.285,8.323,7.833,7.935,7.747,8.379,3.462,7.333,6.86,3.417,7.84,4.788,4.41,7.298,7.755,5.759,7.703,4.349,8.236,5.723,6.125,6.798,4.394,5.862,5.282,6.027,5.688,5.751,5.071,4.899,4.492
7.087,7.458,8.175,9.891,8.63,8.571,8.215,9.842,6.875,7.2,7.491,5.706,10.214,7.062,5.323,8.011,8.919,8.01,8.957,4.617,8.949,6.209,7.534,8.697,6.699,6.945,6.441,6.818,5.766,6.316,6.036,4.13,7.399
6.643,7.715,8.291,9.372,8.051,9.264,8.035,9.253,6.141,7.751,7.647,5.973,8.955,6.652,4.47,8.532,8.558,7.375,9.173,5.59,8.377,6.021,7.441,8.696,6.751,7.852,6.802,7.773,5.785,6.151,5.712,4.279,7.105
6.478,6.49,7.24,7.829,7.695,9.622,7.814,8.212,5.138,7.214,6.944,4.693,7.979,5.404,4.069,7.395,8.072,5.892,7.72,4.112,8.104,5.212,6.761,7.542,4.543,6.191,4.783,6.442,5.424,5.774,5.129,5.83,4.358
6.817,7.521,7.325,9.566,8.653,8.009,9.383,10.088,3.998,8.48,7.453,5.333,8.536,4.972,4.344,7.493,8.288,6.595,8.794,4.333,8.918,5.743,7.78,8.264,7.689,8.271,5.142,8.17,7.001,7.275,6.101,4.181,5.547
6.711,6.757,7.014,8.377,8.129,9.527,7.886,8.373,7.317,7.482,6.997,3.7,7.894,5.534,3.969,7.212,7.279,5.939,7.571,4.074,8.22,5.116,6.831,7.277,4.305,6.748,4.663,6.49,5.637,5.67,5.155,6.113,5.832
6.602,6.76,7.162,8.699,8.257,10.245,7.898,8.916,5.429,7.428,6.985,4.357,8.078,5.653,3.823,7.363,7.748,5.862,7.491,4.607,8.545,5.404,7.605,7.497,5.166,6.823,4.659,6.768,5.187,5.338,4.854,6.534,5.345
5.725,8.257,8.456,10.135,8.457,9.601,8.66,9.751,5.985,7.22,7.594,6.454,9.194,6.778,4.701,8.805,7.149,6.737,8.843,4.209,8.874,6.251,7.33,7.512,8.146,8.026,5.982,6.382,5.74,7.357,5.331,3.471,6.01
7.108,7.441,8.367,9.723,7.702,6.99,8.992,10.102,6.344,8.49,7.458,6.217,9.744,6.516,4.195,8.833,8.073,7.353,8.834,3.793,8.879,6.27,8.19,8.016,9.492,6.848,7.193,8.155,7.184,6.541,6.01,4.081,6.897
7.261,7.652,7.436,9.336,8.026,8.77,8.101,9.255,6.499,8.094,7.483,5.684,8.783,6.199,4.364,7.527,8.452,6.871,8.427,5.454,8.698,5.658,7.475,7.614,5.17,7.235,6.678,8.091,6.13,6.609,5.369,3.969,6.863
7.625,7.828,7.771,10.396,8.788,8.761,8.176,8.858,4.873,8.299,8.155,4.87,9.072,6.249,5.704,8.817,9.318,6.42,9.744,5.187,9.831,6.129,8.603,7.458,7.122,7.645,6.555,7.754,6.209,7.087,5.526,4.172,5.725
6.672,7.776,8.659,10.077,9.062,7.794,8.639,9.049,4.847,7.938,7.831,7.353,9.627,6.425,4.433,8.782,8.988,7.129,9.775,4.409,9.163,5.277,8.03,7.329,6.679,7.897,6.97,7.433,5.987,6.565,5.194,3.764,5.74
6.896,6.539,7.048,8.507,7.895,10.468,8.018,8.212,5.826,7.181,5.752,4.182,7.41,4.727,3.928,7.205,7.807,5.773,7.04,4.718,8.17,4.802,7.298,6.688,4.429,5.482,4.657,6.432,5.439,4.737,4.733,6.015,5.116
7.008,6.209,6.418,9.502,8.783,9.221,7.626,9.383,4.065,7.363,7.671,6.288,9.114,5.234,4.391,9.178,8.577,7.177,8.977,5.929,9.222,4.981,7.173,6.901,6.644,8.491,6.458,6.409,6.698,7.244,6.008,3.64,4.076
7.148,7.942,8.055,9.14,8.302,8.934,8.075,9.683,4.779,7.508,7.492,5.778,10.222,8.041,4.665,8.27,8.574,7.032,7.855,4.33,8.968,6.771,7.319,7.073,7.187,8.152,6.814,7.167,5.533,6.645,5.907,3.498,6.477
6.83,6.693,6.733,8.438,7.936,9.381,7.77,8.111,5.701,7.305,6.952,3.756,7.887,5.413,4.214,7.304,7.234,6.073,7.158,4.52,8.541,4.62,7.589,7.183,5.093,5.946,4.596,6.65,5.073,4.704,5.442,5.839,4.953
6.882,6.306,6.579,8.469,7.912,7.918,7.417,8.559,4.745,7.538,7.095,3.816,7.671,5.108,4.257,6.983,7.768,5.654,7.474,4.4,8.485,4.77,6.692,7.023,4.438,5.68,5.033,6.273,5.273,5.713,5.136,5.993,4.04
7.06,7.639,8.043,9.254,8.454,8.515,8.735,9.136,4.354,8.887,6.829,5.532,8.856,6.64,4.362,7.903,9.077,7.72,8.349,4.761,8.523,5.744,7.045,9.46,7.363,8.619,5.47,7.467,6.134,6.258,5.342,3.793,5.568
6.561,7.763,8.308,8.86,8.392,9.354,8.853,8.143,4.366,8.513,7.752,6.493,8.966,5.069,4.46,10.071,8.978,6.753,8.017,4.415,8.764,5.388,8.552,7.132,3.94,8.317,6.883,8.603,5.71,6.105,5.666,4.773,5.095
6.939,7.577,8.046,9.071,8.328,9.717,8.102,10.003,4.9,7.844,7.851,5.985,9.122,6.183,4.167,7.863,9.076,7.149,8.624,5.049,8.526,5.998,8.008,8.152,7.329,8.044,6.219,7.137,5.75,6.753,6.046,4.104,6.039
6.7,7.244,8.164,8.747,8.548,9.482,8.008,8.463,4.987,7.863,7.302,5.077,8.475,5.902,4.26,7.428,8.769,6.314,7.976,5.619,8.695,5.446,7.872,7.898,6.306,7.324,5.848,6.741,5.419,5.996,5.322,4.06,6.33
6.801,6.133,6.767,8.298,7.876,8.426,7.836,7.932,5.11,7.45,6.7,4.123,8.095,5.63,4.024,7.102,6.875,6.052,7.52,4.413,8.345,4.864,6.777,7.56,5.117,5.92,5.39,6.204,5.039,5.526,4.84,4.841,4.156
5.899,7.557,8.546,9.529,8.246,9.211,9.236,9.591,4.452,8.493,7.553,6.356,9.415,6.601,5.466,8.504,8.217,7.24,8.542,4.494,8.814,5.86,7.647,8.058,5.796,8.159,6.279,6.228,6.752,6.877,6.268,3.966,6.053
6.707,7.055,7.493,8.612,8.164,10.946,8.356,8.467,8.043,8.583,7.556,5.815,8.978,5.691,4.586,8.01,8.946,5.288,7.975,6.25,7.968,5.412,6.967,8.188,6.226,6.713,5.29,6.892,6.475,6.749,5.847,4.341,8.609
6.882,6.962,7.727,9.852,8.762,9.554,8.536,8.978,6.996,8.027,7.601,5.497,8.858,6.662,4.142,7.552,10.262,7.285,9.189,4.697,8.876,6.123,7.556,7.416,6.912,7.622,6.208,7.183,6.293,7.478,5.953,3.924,6.974
7.503,7.22,7.404,9.943,8.96,8.193,8.301,8.836,6.035,8.159,7.451,7.028,8.464,5.374,4.008,7.918,7.614,6.707,8.951,4.783,8.488,5.125,8.002,8.052,6.188,7.756,6.208,8.151,6.358,8.227,5.405,3.951,6.328
6.655,6.59,7.219,8.141,8.055,8.337,7.865,8.481,4.828,7.515,6.713,4.48,7.891,5.435,4.192,7.427,7.605,6.116,7.619,3.976,8.093,5.079,7.208,6.986,4.189,6.501,4.499,6.413,5.438,5.864,5.195,6.302,4.483
6.747,6.352,6.804,8.313,7.876,7.359,7.463,8.106,4.804,7.169,6.673,3.706,7.821,5.225,3.706,6.801,7.569,5.93,7.51,3.914,8.013,5.16,6.715,6.72,3.868,5.873,4.874,5.942,5.422,5.84,5.334,6.041,4.35
7.982,7.871,7.946,9.28,8.249,9.515,7.786,9.504,5.527,8.276,8.084,5.474,10.101,6.696,5.659,8.256,8.795,6.32,8.547,4.461,9.393,6.369,7.521,8.06,7.765,6.571,8.045,7.703,6.309,6.523,5.453,3.975,6.225
6.421,7.55,7.996,9.172,8.21,10.464,8.119,8.514,5.51,8.327,7.319,4.92,8.703,7.264,4.132,7.163,9.961,6.969,8.511,6.961,8.575,5.856,7.581,9.008,6.889,8.064,5.734,6.777,5.179,7.066,5.291,4.701,6.687
7.374,6.692,7.033,7.881,7.653,8.576,7.385,8.319,4.751,7.442,7.211,4.263,8.051,5.597,4.46,7.415,7.748,6.366,7.348,3.778,8.515,5.603,6.88,7.256,3.991,6.774,4.915,6.242,5.054,5.458,4.65,5.031,4.461
5.337,7.446,8.963,7.882,8.662,13.676,9.661,8.419,8.435,7.954,8.081,6.725,9.211,6.941,4.619,8.136,7.349,5.666,6.916,9.548,8.715,5.271,7.058,8.028,5.6,7.573,4.616,6.658,4.927,5.498,4.948,3.544,7.342
6.802,6.261,6.242,7.904,7.921,8.732,8.241,8.214,5.2,6.961,6.704,3.669,7.717,5.302,4.029,7.628,7.722,5.636,7.324,3.804,8.526,4.718,7.428,7.287,3.832,5.674,4.883,6.335,5.698,5.738,4.568,6.516,4.067
6.618,7.404,7.322,9.155,8.501,9.092,7.992,8.85,6.461,8.887,6.899,5.725,8.717,6.409,4.159,7.599,8.157,6.635,8.047,3.941,7.584,5.387,6.966,7.675,7.287,7.47,7.32,7.359,6.334,6.205,6.408,3.997,6.274
7.591,5.585,6.002,8.116,7.954,8.815,8.007,8.49,5.795,7.018,5.073,3.44,7.679,5.675,5.288,6.403,5.593,5.229,6.263,4.257,8.582,3.263,6.491,6.517,3.734,6.641,3.009,6.014,5.466,5.142,5.14,5.337,4.139
6.419,6.126,6.957,8.479,8.14,8.747,7.702,8.22,5.051,7.189,6.612,4.281,8.025,5.717,4.302,7.089,7.657,5.751,7.755,4.148,8.529,5.524,6.135,6.93,4.014,6.856,5.141,6.101,4.9,4.772,4.71,5.607,4.362
6.975,5.63,5.884,8.199,7.923,8.078,7.696,8.083,4.487,7.208,6.31,3.249,6.677,5.18,4.327,6.495,7.439,5.874,6.794,3.904,8.122,4.529,6.965,6.848,4.268,5.19,4.628,6.321,5.257,5.08,4.891,5.194,4.262
7.777,7.314,6.995,9.383,8.093,9.592,8.26,9.841,5.839,7.765,7.293,5.929,8.533,6.505,4.346,8.54,9.006,6.942,8.891,6.029,8.612,5.468,8.027,7.894,7.884,6.948,6.204,8.281,5.257,6.041,5.509,4.186,6.566
6.342,7.475,7.952,8.042,8.757,11.249,9.065,8.743,6.612,7.124,8.143,7.394,9.348,5.308,4.337,7.778,8.864,7.299,8.524,6.179,8.588,6.046,7.842,8.5,6.061,7.005,2.863,7.194,3.613,6.023,4.412,5.02,5.822
6.847,7.075,7.148,8.159,7.78,8.878,7.76,8.398,5.094,7.28,6.974,4.553,8.163,5.286,4.129,7.388,7.394,6.215,7.738,3.835,8.344,4.951,6.731,7.315,4.015,6.3,5.201,5.924,5.498,5.279,5.054,5.582,4.308
7.068,6.584,7.972,8.751,7.821,8.521,7.151,10.523,5.693,8.204,8.478,5.912,7.726,5.928,3.82,8.501,9.538,7.36,9.115,4.112,7.474,4.501,7.583,8.585,6.681,7.569,5.678,6.345,5.508,7.045,5.545,4.039,4.998
6.779,6.606,8.56,9.283,9.122,8.493,8.426,9.243,5.629,7.606,8.012,5.711,10.017,6.101,4.332,7.726,9.804,6.744,8.995,4.489,9.27,5.939,7.799,8.153,7.835,7.695,7.752,7.958,5.731,7.199,5.916,4.019,5.239
7.019,7.348,7.112,8.553,8.73,10.633,8.435,8.771,6.786,8.321,7.637,5.097,9.226,5.612,5.7,8.625,8.808,6.62,8.015,7.111,9.259,5.585,6.872,7.747,5.235,7.253,7.444,7.126,5.597,6.229,4.713,3.968,5.541
8.394,7.281,8.148,9.19,8.478,7.517,8.694,8.982,5.5,9.56,8.21,6.066,9.508,5.578,4.27,8.057,9.689,6.829,8.251,4.04,8.799,5.308,7.588,8.122,6.258,8.009,6.225,8.268,7.088,7.255,5.255,4.29,5.645
7.508,8.111,8.45,9.916,8.046,7.319,8.338,9.583,5.617,8.622,7.583,6.296,9.642,7.301,4.348,9.112,7.766,6.944,9.01,4.106,8.762,6.977,8.229,7.734,8.021,7.736,6.348,6.625,5.896,7.031,6.346,3.741,5.872
6.971,6.483,7.017,8.297,7.662,8.334,7.739,8.456,5.568,7.015,6.73,3.857,8.229,5.367,3.983,7.4,7.465,5.947,7.645,3.516,8.394,4.385,6.98,6.718,3.555,5.885,5.175,6.134,5.519,5.765,4.527,6.356,4.901
7.638,7.61,7.848,9.289,8.308,8.331,8.8,8.794,6.161,7.958,7.441,6.505,8.998,5.854,4.868,9.018,8.734,6.881,8.588,4.43,8.792,5.473,7.888,8.855,6.485,8.499,5.039,7.349,5.96,6.77,5.684,3.522,5.536
7.536,6.133,6.146,8.209,7.527,8.367,7.056,8.146,4.278,7.098,6.702,3.945,8.284,5.392,4.615,6.931,7.587,5.882,7.475,4.029,8.528,4.838,6.502,7.273,4.346,5.596,5.074,5.745,5.44,5.403,4.803,4.368,4.17
6.843,6.846,7.158,7.996,8.053,9.057,7.979,8.373,5.409,7.666,6.973,4.706,8.299,4.953,4.112,7.787,7.769,6.427,7.814,4.496,8.191,5.079,7.046,7.629,4.698,6.408,5.09,6.423,5.066,5.566,5.089,6.199,5.13
6.533,7.582,7.986,8.701,8.304,9.07,8.147,8.548,5.165,7.918,6.98,5.466,8.581,5.336,4.329,8.424,7.923,6.08,8.017,4.47,8.184,5.298,7.583,7.257,5.83,6.604,6.006,6.667,5.609,5.895,5.546,4.235,6.421
8.131,7.68,7.833,9.749,8.665,9.267,8.524,9.602,4.086,7.659,7.723,6.967,9.659,6.817,5.807,9.067,8.323,8.146,8.912,5.137,9.454,5.662,7.692,8.66,7.64,8.116,5.678,6.99,5.805,6.331,5.822,3.958,6.016
5.977,6.576,7.15,8.322,7.952,9.466,8.094,8.383,4.904,7.59,6.216,4.139,8.017,4.794,4.299,7.199,7.496,5.805,7.249,3.8,8.23,4.618,6.98,6.846,4.093,5.467,4.723,6.419,5.729,5.329,4.862,5.656,4.422
6.291,6.964,7.79,8.625,8.451,9.335,8.82,9.028,6.257,7.122,8.087,6.382,9.409,6.364,4.154,8.268,9.167,7.647,8.562,5.248,9.032,6.13,6.994,7.418,5.125,8.261,6.019,7.406,5.392,5.987,5.029,3.628,7.241
8.469,7.506,7.814,9.597,8.324,10.069,7.994,8.845,4.851,8.602,7.613,6.285,9.164,7.422,5.387,7.573,9.08,6.387,9.263,6.843,9.425,6.244,7.156,8.667,8.093,8.025,6.688,7.015,5.827,6.122,5.98,4.083,5.637
8.031,7.126,7.527,9.865,8.352,8.978,7.618,8.975,6.551,8.465,7.754,4.988,9.872,6.812,4.503,8.637,8.091,6.761,8.853,5.371,9.339,5.391,7.326,8.494,7.207,7.067,6.266,7.619,5.966,8.362,4.7,4.06,6.796
6.91,7.45,7.818,7.374,7.901,10.27,7.821,8.642,7.053,7.627,7.398,5.023,7.916,5.975,3.96,8.101,7.743,6.233,7.922,4.969,8.469,4.677,6.508,7.444,4.995,6.48,5.265,6.569,4.91,5.199,5.317,6.714,4.62
7.201,7.438,8.64,8.861,8.56,7.191,8.898,8.819,5.26,9.055,8.434,7.265,9.389,5.987,4.335,8.756,10.52,7.338,8.859,4.025,9.406,5.761,7.525,7.821,5.519,8.654,7.789,8.078,6.237,7.516,6.171,4.001,5.699
6.409,6.612,7.096,8.021,7.687,8.958,7.587,8.372,4.695,7.548,6.404,4.896,7.889,5.284,4.26,7.45,7.713,6.039,7.415,4.014,8.27,4.146,7.347,6.576,5.216,5.935,4.801,7.123,5.437,5.254,5.196,5.658,4.515
6.363,5.159,6.146,8.748,8.241,8.007,7.622,8.01,4.794,6.8,6.737,3.732,7.272,5.657,4.418,6.75,7.402,6.058,7.538,3.697,8.07,4.567,6.641,6.569,3.786,6.016,4.935,6.267,5.474,5.266,5.383,4.902,4.33
6.526,6.513,6.804,7.799,8.088,8.494,7.509,8.638,4.559,6.983,6.933,3.731,7.206,4.84,3.772,7.19,7.451,5.61,7.328,4.054,7.665,4.553,6.85,6.932,4.444,5.592,4.922,5.43,5.439,5.846,5.412,5.679,4.337
5.426,5.132,5.374,7.237,8.002,7.908,6.98,6.466,4.864,6.351,5.596,3.447,6.605,4.783,4.937,7.098,5.796,6.42,6.806,4.03,6.578,4.979,5.001,5.024,3.838,6.409,4.662,5.732,4.525,3.961,3.838,4.159,4.19
