,impute_method,mean_roc_auc,mean_accuracy,sd_roc_auc,hyp,n_expand
0,ExpandGAN,0.5281995062721063,0.5064737393504516,0.05032712052216195,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=25)",1
0,GAN,0.5004899743705714,0.47605210618909244,0.0012943836408524602,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=50)",
0,SMOTE,0.5,0.4755381604696673,0.0,HistGradientBoostingClassifier(min_samples_leaf=50),
0,RO,0.5,0.4755381604696673,0.0,HistGradientBoostingClassifier(min_samples_leaf=10),
