,impute_method,mean_roc_auc,mean_accuracy,sd_roc_auc,hyp,n_expand
0,ExpandGAN,0.5781367696228185,0.5745380916223741,0.09296954680208568,"SVC(C=1, gamma=0.1, kernel='linear')",0.25
0,GAN,0.6005556729896541,0.5941878925933596,0.05656819257468835,"SVC(C=1, gamma=0.1, kernel='linear')",
0,SMOTE,0.6516057435339947,0.6460504820413705,0.0010959512137237821,"SVC(C=1, gamma=0.1, kernel='linear')",
0,RO,0.6516057435339947,0.6460504820413705,0.0010959512137237821,"SVC(C=1, gamma=0.1, kernel='linear')",
0,ExpandGAN,0.5,0.5079726651480638,0.0,"SVC(C=5, gamma=0.1)",0.5
0,ExpandGAN,0.5,0.5079726651480638,0.0,"SVC(C=1, gamma=0.1)",0.75
0,ExpandGAN,0.5,0.5079726651480638,0.0,"SVC(C=5, gamma=0.1)",1.0
