,impute_method,mean_roc_auc,mean_accuracy,sd_roc_auc,hyp,n_expand
0,ExpandGAN,0.5220975494146676,0.5035284350352843,0.06043450108120656,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=1)",1
0,GAN,0.5041623004816298,0.4799264662278361,0.009919198272836487,HistGradientBoostingClassifier(min_samples_leaf=10),
0,SMOTE,0.5,0.4755381604696673,0.0,HistGradientBoostingClassifier(min_samples_leaf=10),
0,RO,0.5,0.4755381604696673,0.0,"HistGradientBoostingClassifier(learning_rate=0.001, min_samples_leaf=10)",
