,impute_method,mean_roc_auc,mean_accuracy,sd_roc_auc,hyp,n_expand
0,ExpandGAN,0.5900545481387534,0.5841098916269759,0.106936384859793,HistGradientBoostingClassifier(min_samples_leaf=10),0.25
0,GAN,0.6030910961466517,0.5968569522100274,0.11553290902259317,HistGradientBoostingClassifier(min_samples_leaf=25),
0,SMOTE,0.5,0.4920273348519362,0.0,HistGradientBoostingClassifier(min_samples_leaf=50),
0,RO,0.5001811840376863,0.4922114079289478,0.001227106654120241,HistGradientBoostingClassifier(min_samples_leaf=25),
0,ExpandGAN,0.5214637027977835,0.5138399944778077,0.052562230562484595,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=50)",0.5
0,ExpandGAN,0.5894795404635963,0.5840178550884702,0.13375730256149315,"HistGradientBoostingClassifier(learning_rate=0.001, min_samples_leaf=50)",0.75
0,ExpandGAN,0.5808399557776738,0.5746991555647591,0.12859409879590322,"HistGradientBoostingClassifier(learning_rate=0.001, min_samples_leaf=50)",1.0
