,impute_method,mean_roc_auc,mean_accuracy,sd_roc_auc,hyp,n_expand
0,ExpandGAN,0.5777554233583133,0.5741469363337245,0.09290427482641851,"SVC(C=1, gamma=0.1, kernel='linear')",0.25
0,GAN,0.6006915610179188,0.5943259474011182,0.05661146071252424,"SVC(C=1, gamma=0.1, kernel='linear')",
0,SMOTE,0.6516057435339947,0.6460504820413705,0.0010959512137237821,"SVC(C=1, gamma=0.1, kernel='linear')",
0,RO,0.6516057435339947,0.6460504820413705,0.0010959512137237821,"SVC(C=1, gamma=0.1, kernel='linear')",
0,ExpandGAN,0.5,0.5079726651480638,0.0,"SVC(C=5, gamma=0.1)",0.5
0,ExpandGAN,0.5,0.5079726651480638,0.0,"SVC(C=1, gamma=0.1)",0.75
0,ExpandGAN,0.5,0.5079726651480638,0.0,"SVC(C=5, gamma=0.1)",1.0
