,impute_method,mean_roc_auc,mean_accuracy,sd_roc_auc,hyp,n_expand
0,ExpandGAN,0.5481303652703753,0.5422792848760958,0.11777130240050761,"SVC(C=1, gamma=0.1, kernel='linear')",0.25
0,GAN,0.5,0.5079726651480638,0.0,"SVC(C=1, gamma=0.1)",
0,SMOTE,0.5,0.4920273348519362,0.0,"SVC(C=1, gamma=0.1, kernel='linear')",
0,RO,0.5,0.4920273348519362,0.0,"SVC(C=1, gamma=0.1, kernel='linear')",
0,ExpandGAN,0.5,0.5079726651480638,0.0,"SVC(C=5, gamma=0.1)",0.5
0,ExpandGAN,0.5,0.5079726651480638,0.0,"SVC(C=1, gamma=0.1)",0.75
0,ExpandGAN,0.5,0.5079726651480638,0.0,"SVC(C=5, gamma=0.1)",1.0
