,logFC,AveExpr,t,P.Value,adj.P.Val,B
LASP1,1.1104987611927,10.6229871800671,20.6707166572113,1.17638430643345e-66,1.09212975475646e-65,140.979101349467
TMEM106C,1.32426187552916,8.96266546533565,20.660455247707,1.30969173506088e-66,1.21261215901189e-65,140.871976269164
ZGPAT,-1.39883484865625,7.98548063122222,-20.6535977733408,1.40709702359993e-66,1.29929523550155e-65,140.800387178178
HSD17B13,-2.51069985112552,8.5321342641169,-20.649447493848,1.46953391137672e-66,1.35331071999438e-65,140.757060139801
GHR,-2.21014822988438,9.4864763076875,-20.6434791335631,1.56420997631435e-66,1.43281633830394e-65,140.694753296853
ACTG2,1.71784926323124,7.24185820309722,20.6353503705912,1.7030427253894e-66,1.55583823449803e-65,140.60989314314
MCM5,1.02042856632917,7.93172610653009,20.6310884158857,1.78069017242164e-66,1.62245908282979e-65,140.565400628818
TUFT1,1.12857131174583,7.28800442920602,20.6146398497309,2.11503154425798e-66,1.92199295093285e-65,140.393687303879
GNPDA1,1.06092730216666,8.71391447182176,20.590767555779,2.7150115133055e-66,2.46070304701963e-65,140.144477240514
PYGB,1.13725592010834,7.42267106808796,20.5601486617383,3.74003326008882e-66,3.3807932232645e-65,139.824842385886
DNAJC9,1.03617687698959,7.92243802526852,20.5360554913108,4.81205865668205e-66,4.32707368735677e-65,139.573334840811
TKT,1.62376733581145,9.64561642140741,20.4501686501401,1.18168623872932e-65,1.04615779124619e-64,138.676802862588
CLPTM1L,1.03021202766353,9.25134544061343,20.3726294048889,2.65906787806257e-65,2.31824826424998e-64,137.867467137404
SLC22A1,-2.37737700985105,9.11831466538657,-20.3587969972851,3.07299215580349e-65,2.65887356553778e-64,137.723094746957
PAFAH1B3,1.74937418484687,8.05683081004861,20.3454485502124,3.53341238630573e-65,3.04192269347373e-64,137.583775722264
RUSC1,1.18269773840625,8.3432863364375,20.2418882265491,1.04368107362726e-64,8.83015883721588e-64,136.502985106748
MAPRE1,1.11386884395729,8.63902968623843,20.2348511421725,1.12338413430279e-64,9.45790318953454e-64,136.42954917156
ILF2,1.43465629018436,9.31056012523611,20.2097968002277,1.45987519303891e-64,1.22608099953268e-63,136.168099133305
NPC1,1.12436635787396,7.46284150316435,20.186529544002,1.86201605031873e-64,1.55621049460945e-63,135.92530673186
SMARCC1,1.06830847616875,8.38143354909722,20.162469378404,2.39468510847653e-64,1.98689452840987e-63,135.674249673451
SLC12A9,1.01986250316978,8.11749507218981,20.1581410216758,2.50555806913227e-64,2.07387758252273e-63,135.629086240416
AURKB,1.02468197872395,6.31720780902546,20.1224116147813,3.64044902473909e-64,2.99878714627788e-63,135.256286818219
TAGLN2,1.10670786920416,8.70617648795718,20.062704331882,6.79626672651459e-64,5.48008831116846e-63,134.633355053493
PA2G4,1.09533573244063,8.93024060594444,20.0164612251003,1.10212117834473e-63,8.76339409169938e-63,134.150944136211
PIGU,1.06096685194791,8.3823574302662,19.9308399523345,2.69730342021707e-63,2.11535096996476e-62,133.257857716254
NUP37,1.10571775537708,7.97674859026157,19.9295691618548,2.73336980195817e-63,2.13875290882149e-62,133.24460377193
RCC2,1.06442893465207,8.2726556481088,19.7497948514934,1.78894036600982e-62,1.3595155215141e-61,131.370019522318
HEATR1,1.11135437815104,7.54765669800926,19.6505429304365,5.04534117203319e-62,3.7840058790249e-61,130.335457724508
ZC3H3,1.05346909039375,7.78752945757639,19.6207821017798,6.88474842127285e-62,5.14111104936353e-61,130.025301261811
EVC2,-1.51361598392501,8.01558862625694,-19.5894464498884,9.55029016836223e-62,7.10070275504854e-61,129.698763120938
TEAD2,1.29638673686771,8.21440308287269,19.5794642285026,1.05996118426619e-61,7.83003584506314e-61,129.594748518487
NSMCE2,1.18738858651771,7.4962074280463,19.5393364991559,1.61165301988755e-61,1.18291199216106e-60,129.176651715695
TMEM147,1.08238696346354,9.42546892230787,19.4657396154485,3.47518545075109e-61,2.50257065478616e-60,128.409979459058
ALG1L,1.35699455983802,7.05659308936574,19.4532178860487,3.96046904378218e-61,2.84012759193983e-60,128.279557600459
CPD,1.18791140689478,9.24249631711343,19.4392545775944,4.58192531647502e-61,3.27212338089224e-60,128.134127567232
PARP12,1.11370969861562,8.29927283976389,19.3669457451678,9.74551440909733e-61,6.90223546293801e-60,127.381137488443
ADH4,-3.07179493612708,11.2694796690301,-19.3629291242388,1.01626880033969e-60,7.16813825290933e-60,127.339316211291
C7orf50,1.00928685193959,10.0556150320463,19.2944801292232,2.07580589292835e-60,1.45518229432834e-59,126.626720832094
RFC4,1.01023715720156,7.46291304221875,19.2874395178063,2.23401931650257e-60,1.56290353405017e-59,126.553434665228
ACAD11,-1.23748013148229,9.21227739343519,-19.237988102781,3.74214884790033e-60,2.59158897026968e-59,126.038750545495
SPNS1,1.05764980218542,8.33753402369676,19.1942537137605,5.90497879198526e-60,4.04055819730465e-59,125.58365629243
P2RX4,1.00706983655625,7.42465863295833,19.1753092752786,7.19477606674053e-60,4.9035824978678e-59,125.386549221541
MRGBP,1.25082919926874,7.76825733871528,19.1444284348115,9.92799285140976e-60,6.75300107813714e-59,125.065284803582
ST3GAL6,-1.19337030461771,7.87524739033565,-19.1184258591846,1.30196771601168e-59,8.82102387475368e-59,124.794804676138
TK1,1.06722890231667,7.18656563991898,19.0881249757376,1.78560306327399e-59,1.20265618085219e-58,124.479653254709
ATOH8,-1.03495270839479,7.57515371150463,-19.0712816517643,2.1283046084813e-59,1.42509285187783e-58,124.304489205552
MARCO,-1.18792182397187,7.14372011825694,-19.0365490756306,3.05666815848686e-59,2.0348168845741e-58,123.943327200423
BBOX1,-2.37720425368543,8.64836573206018,-19.0146823813724,3.83896028054525e-59,2.54571979993686e-58,123.715979742902
HSPH1,1.02560610463228,8.5442569844537,19.0050006540566,4.24647394683609e-59,2.7997385810714e-58,123.615326682853
ZG16,-1.41646743496875,7.96783749860417,-18.9689165382499,6.18458276791159e-59,4.06195828064557e-58,123.240231141514
MCM2,1.19324781364479,6.92450493338426,18.9621590223027,6.63567831352416e-59,4.34991507766326e-58,123.16999393912
