experiment,classifier,n_control,class_imbalance,alpha1,alpha2,method,auc_mean,mean_accuracy,auc_sd,hyp,expGanMulti
sim,histgradboost,40,0.4,1,1,ExpandGAN,0.6978559320556732,0.6869408369408369,0.06966513014275898,"HistGradientBoostingClassifier(learning_rate=0.01, min_samples_leaf=25)",1.0
sim,svm,40,0.4,1,1,ExpandGAN,0.5001882863724969,0.34881673881673886,0.001151506557179708,"SVC(C=5, gamma=0.1)",0.25
sim,svm,40,0.4,1,1,GAN,0.5000110756689704,0.3485858585858586,0.00011020151483105708,"SVC(C=1, gamma=0.1)",
sim,svm,40,0.4,1,1,SMOTE,0.8574022145527754,0.88,0.0,"SVC(C=1, gamma=0.1, kernel='linear')",
sim,svm,40,0.4,1,1,RO,0.8574022145527754,0.88,0.0,"SVC(C=1, gamma=0.1, kernel='linear')",
sim,svm,40,0.4,1,1,ExpandGAN,0.5001329080276449,0.3579220779220779,0.0005917804384592231,"SVC(C=5, gamma=0.1)",0.5
sim,svm,40,0.4,1,1,ExpandGAN,0.5002200608326579,0.37331890331890333,0.0005593774612148996,"SVC(C=5, gamma=0.1)",0.75
sim,svm,40,0.4,1,1,ExpandGAN,0.5004844243411974,0.3828282828282828,0.0016240254369902663,"SVC(C=1, gamma=0.1)",1.0
sim,histgradboost,80,0.4,0,0,ExpandGAN,0.7954026169082252,0.7985714285714286,0.03995659147394141,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=50)",0.25
sim,histgradboost,80,0.4,0,0,GAN,0.7975705429329244,0.7883694083694084,0.03609899991702443,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=25)",
sim,histgradboost,80,0.4,0,0,SMOTE,0.779220519837431,0.8049206349206349,0.016842253626698035,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=50)",
sim,histgradboost,80,0.4,0,0,RO,0.7244449818867421,0.7441125541125542,0.011206505323136507,HistGradientBoostingClassifier(min_samples_leaf=25),
sim,histgradboost,80,0.4,0,0,ExpandGAN,0.7780390546244731,0.7693795093795094,0.052703576078925514,HistGradientBoostingClassifier(min_samples_leaf=10),0.5
sim,histgradboost,80,0.4,0,0,ExpandGAN,0.7778593019641337,0.7727561327561328,0.04646732893493652,HistGradientBoostingClassifier(min_samples_leaf=10),0.75
sim,histgradboost,80,0.4,0,0,ExpandGAN,0.7331511839708561,0.713015873015873,0.05968697939640502,"HistGradientBoostingClassifier(learning_rate=0.01, min_samples_leaf=75)",1.0
sim,svm,80,0.4,0,0,ExpandGAN,0.5,0.35468975468975467,0.0,"SVC(C=5, gamma=0.1)",0.25
sim,svm,80,0.4,0,0,GAN,0.5,0.3516305916305916,0.0,"SVC(C=5, gamma=0.1)",
sim,svm,80,0.4,0,0,SMOTE,0.8701287029048029,0.8928571428571429,0.0,"SVC(C=1, gamma=0.1, kernel='linear')",
sim,svm,80,0.4,0,0,RO,0.8701287029048029,0.8928571428571429,0.0,"SVC(C=1, gamma=0.1, kernel='linear')",
sim,svm,80,0.4,0,0,ExpandGAN,0.5,0.35468975468975467,0.0,"SVC(C=5, gamma=0.1)",0.5
sim,svm,80,0.4,0,0,ExpandGAN,0.5008301304677492,0.3648484848484849,0.003813064351927328,"SVC(C=5, gamma=0.1)",0.75
sim,svm,80,0.4,0,0,ExpandGAN,0.5003502453351462,0.37069264069264074,0.003333366643753244,"SVC(C=5, gamma=0.1)",1.0
sim,histgradboost,80,0.4,1,0,ExpandGAN,0.7801619516999154,0.7656132756132756,0.05042758534765522,HistGradientBoostingClassifier(min_samples_leaf=10),0.25
sim,histgradboost,80,0.4,1,0,GAN,0.7462333647083431,0.7191774891774891,0.03421768801993654,HistGradientBoostingClassifier(min_samples_leaf=10),
sim,histgradboost,80,0.4,1,0,SMOTE,0.779220519837431,0.8049206349206349,0.016842253626698035,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=50)",
sim,histgradboost,80,0.4,1,0,RO,0.7244449818867421,0.7441125541125542,0.011206505323136507,HistGradientBoostingClassifier(min_samples_leaf=25),
sim,histgradboost,80,0.4,1,0,ExpandGAN,0.7234510767729059,0.6984848484848486,0.06337188162733562,"HistGradientBoostingClassifier(learning_rate=0.01, min_samples_leaf=75)",0.5
sim,histgradboost,80,0.4,1,0,ExpandGAN,0.775270682086903,0.7696969696969698,0.04786609111541484,HistGradientBoostingClassifier(min_samples_leaf=10),0.75
sim,histgradboost,80,0.4,1,0,ExpandGAN,0.7598451803046281,0.7610966810966812,0.032881845652720516,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=10)",1.0
sim,svm,80,0.4,1,0,ExpandGAN,0.5,0.35468975468975467,0.0,"SVC(C=5, gamma=0.1)",0.25
sim,svm,80,0.4,1,0,GAN,0.5,0.3516305916305916,0.0,"SVC(C=5, gamma=0.1)",
sim,svm,80,0.4,1,0,SMOTE,0.8701287029048029,0.8928571428571429,0.0,"SVC(C=1, gamma=0.1, kernel='linear')",
sim,svm,80,0.4,1,0,RO,0.8701287029048029,0.8928571428571429,0.0,"SVC(C=1, gamma=0.1, kernel='linear')",
