,impute_method,mean_roc_auc,mean_accuracy,sd_roc_auc,hyp,n_expand
0,ExpandGAN,0.5,0.3485714285714286,0.0,"SVC(C=1, gamma=0.1)",0.25
0,GAN,0.5,0.3516305916305916,0.0,"SVC(C=5, gamma=0.1)",
0,SMOTE,0.8441005176876616,0.8614285714285715,0.0,"SVC(C=1, gamma=0.1, kernel='linear')",
0,RO,0.8441005176876616,0.8614285714285715,0.0,"SVC(C=1, gamma=0.1, kernel='linear')",
0,ExpandGAN,0.500210982415469,0.3581240981240982,0.0009418596445506906,"SVC(C=5, gamma=0.1)",0.5
0,ExpandGAN,0.5000265089781915,0.35170274170274174,0.0003360838511248749,"SVC(C=1, gamma=0.1)",0.75
0,ExpandGAN,0.500171945221557,0.3641414141414142,0.000664073581012937,"SVC(C=1, gamma=0.1)",1.0
