,impute_method,mean_roc_auc,mean_accuracy,sd_roc_auc,hyp,n_expand
0,ExpandGAN,0.6084832086015444,0.6033685373093118,0.13210983561959896,HistGradientBoostingClassifier(min_samples_leaf=10),0.25
0,GAN,0.5887193643795537,0.582361197395366,0.1374959218928981,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=10)",
0,SMOTE,0.5,0.4920273348519362,0.0,"HistGradientBoostingClassifier(learning_rate=0.001, min_samples_leaf=1)",
0,RO,0.5,0.4920273348519362,0.0,"HistGradientBoostingClassifier(learning_rate=0.001, min_samples_leaf=1)",
0,ExpandGAN,0.6217914278140985,0.6170589724120477,0.14344002129674566,HistGradientBoostingClassifier(min_samples_leaf=10),0.5
0,ExpandGAN,0.5976424685318557,0.5919560065345942,0.13369116699803055,HistGradientBoostingClassifier(min_samples_leaf=10),0.75
0,ExpandGAN,0.5684651279444504,0.5616989945008168,0.1000683146715647,HistGradientBoostingClassifier(min_samples_leaf=25),1.0
