,lr_1,max_epochs_1,final_loss,max_loss,time_taken,epoch_final,final_select
0,0.0005,500,2.916640281677246,3.0,00:05,0,0
1,0.0001,500,2.922417163848877,3.0,00:03,0,0
2,0.001,500,2.9056272506713867,3.0,00:03,0,1
