acta2,ap3b1,atp6v1f,c8orf33,cap2,chst4,creb3l2,ctnna1,dap3,dctn2,fam20b,gmfb,gnpat,hgs,hsph1,kpnb1,lage3,lsm2,nol7,parp1,parp12,plod3,plvap,polr2g,psmd4,ptcd1,ptprf,sae1,slc41a3,tfrc,thy1,vwf,znf207
10.67750812,8.572026687,9.550605159,7.728501088,7.417002685,8.995714865,8.314079636,9.985991114,8.54107375,8.902268396,8.113561428,8.798505362,7.698332046,8.54679309,8.113931,9.238530359,7.81389182,9.212168475,9.852860814,8.888024718,7.873860607,8.501571525,7.126756988,9.37299299,6.573911531,7.888596353,9.790583179,9.684583831,8.135098353,7.047315959,6.997926712,10.91642759,8.038523403
10.27045105,8.504442233,9.049301363,7.390383531,7.35181445,8.036731449,7.765085208,9.685580294,8.705876091,8.635841762,8.015677494,8.674728995,7.584857395,8.579425005,7.856648917,8.751477302,8.154730046,9.076196841,9.788284408,8.565847965,7.178502655,8.249407807,6.628924434,9.278706659,6.535079769,7.748723624,9.22118492,9.397080278,7.746084308,10.62800883,5.890871946,7.947073751,7.862593935
9.04027277,8.858310162,9.59378497,7.494693452,7.20514833,7.813572854,8.003741503,9.78271588,8.865662112,8.728673451,8.063641748,8.616184525,7.995717505,7.916028846,8.525974853,9.014238287,8.433797257,8.729326863,9.333742063,9.106835719,7.710218237,8.550740916,6.716237443,9.100243908,6.62284049,7.653020886,9.000499774,9.387958412,7.403151634,8.641857125,6.547844226,7.577812847,7.98110164
9.288274566,8.18664595,9.377239464,7.626873619,6.808259758,7.407600748,7.884215869,10.2801011,8.199392527,8.893172488,8.11806179,8.554776066,7.673439565,8.642405699,6.977293874,9.135552228,7.285011736,9.442803467,8.72747666,9.0706334,7.411295849,9.279620872,6.880549884,9.443545158,6.581653988,7.99001672,8.645111453,9.441169418,7.69246078,7.384540827,6.298195777,8.428700644,8.355363669
8.827570214,8.38301796,9.470088887,7.555512452,6.662850147,7.841128235,8.230594571,9.69073926,8.991606277,8.72081057,8.182075628,8.267240099,7.796097534,7.844452127,8.115084311,8.127674809,8.370839776,9.490611909,8.633358148,9.0826801,7.470679411,8.215308304,6.397806075,9.538360408,6.629318687,7.892995198,8.673178486,9.054035573,7.914060423,7.772129138,6.054865987,8.476705301,7.74023048
8.736741755,8.445056567,8.855367162,7.381958007,7.062877832,7.207876443,8.377166356,10.05497025,8.833618544,8.632780442,7.915717907,8.418073183,7.736105164,8.056680547,7.277502445,8.86083868,7.984879419,8.794807048,8.913321685,9.13489191,7.836802195,9.03380443,6.764196162,8.974685891,6.503920539,7.50513427,9.621586809,9.277807983,7.770321614,7.888313974,5.703568157,7.643390741,8.15711581
9.806276824,8.662098605,9.287554499,7.821774363,7.258295329,9.042470978,8.350856178,9.928427003,8.595450037,8.556767854,8.233502496,8.171092093,7.765651349,8.533145827,7.5987651,8.843240182,8.148628013,9.221990018,9.171000756,9.192649434,7.469556515,8.936860967,6.699401614,9.241058259,6.674421525,7.99844219,9.975045883,9.477937708,7.838707795,7.958237266,6.623060015,8.848258568,7.900295963
9.293884208,8.564892089,9.548785561,7.725686837,6.992747279,8.52347964,8.707597422,10.12583837,8.677962283,8.753936573,8.76029026,8.097732923,7.486778625,8.925845243,7.743652638,8.670329741,7.6519742,9.105388798,8.381669506,8.865662112,8.489278557,8.967987881,6.676289036,9.186330061,6.767079912,8.294532633,9.409276415,9.09099397,7.673167563,7.119541492,6.397356174,8.125049072,8.047131877
10.71141051,8.4684736,9.4312022,7.639486928,7.185225708,8.963056809,8.3607768,10.12304892,8.799751698,8.711061276,8.172716257,8.403153843,7.985260792,8.352808115,7.97782726,9.301943453,8.38623121,9.486050501,8.801605689,9.267570152,7.851422013,8.921915205,7.29641019,9.474436405,6.586944769,7.791145356,9.285967996,9.329004445,7.815746015,7.882946873,6.58429354,9.748032768,8.068159945
9.872983252,8.641857125,9.275550624,7.541517556,7.114043554,8.187018984,8.104009279,9.627360404,8.98146263,8.518533907,8.126498891,8.225457725,7.657670833,8.134341162,8.027718457,8.812293659,8.669170812,8.553316261,9.144621126,9.013605495,7.372170303,8.598661147,6.657015511,9.186330061,6.644587624,7.773036931,9.487879304,9.207533871,7.680130114,8.688766194,6.246215368,8.530508461,7.899681204
8.392392186,8.315391096,9.266026403,7.177186829,7.207727193,8.533145827,7.838707795,9.276254062,9.060547365,8.70421619,7.78316413,8.532610666,8.340228753,6.989011241,7.546637774,8.374942682,8.811700247,8.950592731,8.885529277,8.858310162,7.52932224,7.967972057,6.556263648,9.675177059,6.933105459,7.482153386,8.607512782,9.075493569,7.715148365,8.267240099,6.01285253,8.252383734,7.97656549
9.392091943,8.685879484,9.577383251,7.566975678,7.37953401,8.028704702,7.983520546,10.28143156,9.043841871,9.02115742,8.199029928,8.280543103,7.856990641,7.971336059,7.844753279,7.914060423,8.293259062,9.40597102,8.825036246,9.138519405,8.216904245,8.905467452,6.516422602,9.367201246,6.781089418,7.610307766,8.871881509,9.42517304,7.836517333,8.5405678,6.017082712,8.497619732,8.181263546
9.271543761,8.434667881,9.250424177,7.513385796,7.257773605,7.930596165,8.086241681,9.695889119,9.089443158,8.655131009,8.049554552,8.347359732,7.712118115,8.016384253,8.049219977,8.498683429,8.453357808,9.056875318,9.741701223,8.548766975,7.398090808,8.365199567,6.662507753,9.346823309,6.732148789,7.474015944,9.013605495,9.302786163,7.427693745,7.504244656,5.723084211,7.853240743,7.942282426
11.02451007,8.937465978,10.17192003,7.671097993,7.316250654,8.277663739,8.216460129,9.930652483,9.246459452,8.98607851,8.442671144,8.026567391,7.613997935,8.669170812,8.183911203,8.711635356,8.082676157,8.826927767,8.693846046,8.992285126,7.30946004,8.793139563,6.622817986,9.355280583,6.865052357,7.744447557,8.713960671,9.174015339,7.861046205,7.975282037,6.226427668,8.262248661,7.770919851
10.12862178,8.529540801,9.527896731,7.74023048,7.265766473,8.298402015,8.694950664,10.0921892,8.895909123,9.018975605,8.379976545,8.143953455,7.947368251,8.615054883,7.735560082,8.70421619,8.193718585,8.802215871,9.533909452,8.801010839,7.618483292,8.579874196,6.703287088,9.474436405,6.748577899,7.732184708,10.24459425,9.412710071,7.89266303,8.547740591,6.448977564,7.86326284,8.022848544
