,impute_method,mean_roc_auc,mean_accuracy,sd_roc_auc,hyp,n_expand
0,ExpandGAN,0.5178417986138643,0.49498902923560456,0.03979411314013681,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=75)",1
0,GAN,0.500753806723956,0.47632884619185983,0.002028375785250694,HistGradientBoostingClassifier(min_samples_leaf=50),
0,SMOTE,0.5,0.4755381604696673,0.0,HistGradientBoostingClassifier(min_samples_leaf=50),
0,RO,0.5,0.4755381604696673,0.0,"HistGradientBoostingClassifier(learning_rate=0.01, min_samples_leaf=10)",
