,impute_method,mean_roc_auc,mean_accuracy,sd_roc_auc,hyp,n_expand
0,ExpandGAN,0.8615128558310378,0.8761690983913205,0.0936852740053531,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=10)",1
0,GAN,0.9203684573002754,0.9195660306771418,0.047790548243782455,HistGradientBoostingClassifier(min_samples_leaf=25),
0,SMOTE,0.9232954545454546,0.9090909090909091,0.016264176062917107,HistGradientBoostingClassifier(min_samples_leaf=25),
0,RO,0.9356060606060606,0.9236812570145904,0.009799266613351978,HistGradientBoostingClassifier(min_samples_leaf=50),
