,impute_method,mean_roc_auc,mean_accuracy,sd_roc_auc,hyp,n_expand
0,ExpandGAN,0.5143857653992167,0.49107513491075133,0.04892933128811649,HistGradientBoostingClassifier(min_samples_leaf=25),1
0,GAN,0.5115660474284024,0.4878530905928166,0.0228597322180182,HistGradientBoostingClassifier(min_samples_leaf=10),
0,SMOTE,0.5,0.4755381604696673,0.0,"HistGradientBoostingClassifier(learning_rate=0.001, min_samples_leaf=1)",
0,RO,0.5,0.4755381604696673,0.0,"HistGradientBoostingClassifier(learning_rate=0.001, min_samples_leaf=1)",
